Town,County,Latitude,Longitude,Elevation,Population
Achadh an Iuir,Cavan,53.8338889,-7.0755556,380,2428
Achadh an Iúir,Cavan,53.8338889,-7.0755556,380,2428
Aghadreenagh,Cavan,54.0783333,-7.3094444,249,2498
Aghalackan,Cavan,53.9727778,-7.3002778,501,2425
Altateskin,Cavan,54.1511111,-7.7847222,574,2282
An Blaic,Cavan,54.2927778,-7.8752778,239,2645
Cavan,Cavan,53.9908333,-7.3605556,370,2425
An Cabhán,Cavan,53.9908333,-7.3605556,370,2425
An Cnoc Rua,Cavan,54.1,-7.3166667,249,2733
An Muileann Iarainn,Cavan,54.1947222,-7.7044444,246,2565
An Mullach,Cavan,53.8130556,-6.9513889,416,3523
Ardlougher,Cavan,54.0619444,-7.5755556,262,2387
Ardmoneen,Cavan,54.1105556,-7.8236111,419,1845
Armhach,Cavan,53.9166667,-7.5833333,242,2345
Ármhach,Cavan,53.9166667,-7.5833333,242,2345
Arva,Cavan,53.9166667,-7.5833333,242,2345
Arvagh,Cavan,53.9166667,-7.5833333,242,2345
Aubawn,Cavan,54.0222222,-7.5430556,423,2308
Baile Sheamais Dhuibh,Cavan,53.8652778,-7.2027778,498,2448
Baile Shéamais Dhuibh,Cavan,53.8652778,-7.2027778,498,2448
Baileborough,Cavan,53.9166667,-6.9666667,698,2444
Bailieborough,Cavan,53.9166667,-6.9666667,698,2444
Bakers Bridge,Cavan,54.0616667,-7.42,232,2415
Ballinagh,Cavan,53.9333333,-7.4166667,275,2426
Ballyconnell,Cavan,54.1166667,-7.5833333,239,2493
Ballyhaise,Cavan,54.05,-7.3166667,242,2498
Ballyhugh,Cavan,54.085,-7.5327778,275,2502
Ballyjamesduff,Cavan,53.8652778,-7.2027778,498,2448
Ballymagauran,Cavan,54.0708333,-7.6797222,242,1880
Ballynahaia,Cavan,54.0708333,-7.0405556,413,2815
Ballynallon Bridge,Cavan,54.0502778,-7.2352778,249,2622
Bawnboy,Cavan,54.1213889,-7.6755556,321,2230
Beal Atha Conaill,Cavan,54.1166667,-7.5833333,239,2493
Béal Átha Conaill,Cavan,54.1166667,-7.5833333,239,2493
Beal Atha hEis,Cavan,54.05,-7.3166667,242,2498
Béal Átha hÉis,Cavan,54.05,-7.3166667,242,2498
Beal Atha na nEach,Cavan,53.9333333,-7.4166667,275,2426
Béal Átha na nEach,Cavan,53.9333333,-7.4166667,275,2426
Beal Tairbirt,Cavan,54.1,-7.45,246,2475
Béal Tairbirt,Cavan,54.1,-7.45,246,2475
Beglieve,Cavan,53.9425,-7.0355556,498,2426
Bellaheady Bridge,Cavan,54.0897222,-7.6191667,242,2454
Bellahillan Bridge,Cavan,53.9616667,-7.4555556,305,2425
Bellanacargy,Cavan,54.0416667,-7.2491667,259,2622
Bellananagh,Cavan,53.9333333,-7.4166667,275,2426
Bellville,Cavan,53.9444444,-7.4122222,291,2426
Belturbet,Cavan,54.1,-7.45,246,2475
Binbane,Cavan,54.0130556,-7.12,557,2422
Binkeeragh,Cavan,54.1830556,-7.7488889,452,2528
Blacklion,Cavan,54.2927778,-7.8752778,239,2645
Blackrocks Cross,Cavan,54.1638889,-7.7830556,646,2282
Boagh,Cavan,54.045,-7.0125,324,2815
Bursan,Cavan,54.1922222,-7.8580556,1092,2433
Butlers Bridge,Cavan,54.0427778,-7.3763889,249,2416
Callaghs,Cavan,54.0705556,-7.6002778,249,2287
Canningstown,Cavan,53.9794444,-7.0461111,498,2425
Cargagh,Cavan,53.9455556,-7.2552778,495,2426
Cargagh,Cavan,53.8988889,-7.0863889,442,2423
